"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60367","Verify RTV Module","","Tue Sep 30 16:23:02 IST 2025","broken","Tue Sep 30 16:24:02 IST 2025","Mobile App Login Test","bclinward.spec.js","",""
"","0","pending information tab","","Tue Sep 30 16:06:53 IST 2025","skipped","Tue Sep 30 16:06:53 IST 2025","","bclinward.spec.js","",""
"","61117","test","","Tue Sep 30 10:45:11 IST 2025","broken","Tue Sep 30 10:46:12 IST 2025","","liquidation.spec.js","",""
"","44415","Dispatch process","","Wed Oct 01 14:12:23 IST 2025","failed","Wed Oct 01 14:13:08 IST 2025","","dispatchflow.spec.js","",""
"","9817","should login successfully with valid credentials00","","Thu Oct 02 18:18:46 IST 2025","failed","Thu Oct 02 18:18:56 IST 2025","Mobile App Login Test","bclinward.spec.js","",""
"","33104","2-Service Technician Inspection","","Mon Oct 06 10:45:13 IST 2025","passed","Mon Oct 06 10:45:46 IST 2025","","usecase1.spec.js","",""
"","934","Use CSV date in test","","Mon Oct 06 13:04:35 IST 2025","passed","Mon Oct 06 13:04:36 IST 2025","","usecase2.spec.js","",""
"","31435","9-Complete pickup request","","Mon Oct 06 10:48:40 IST 2025","passed","Mon Oct 06 10:49:12 IST 2025","Mobile App Login Test","usecase1.spec.js","",""
"","0","2-Service Technician Inspection","","Fri Oct 03 12:45:31 IST 2025","skipped","Fri Oct 03 12:45:31 IST 2025","","usecase2.spec.js","",""
"","12","should login successfully with valid credentials2","","Wed Oct 01 17:22:19 IST 2025","failed","Wed Oct 01 17:22:19 IST 2025","","bclinward.spec.js","",""
"","25466","D2C Ticket Creation","","Fri Oct 03 11:44:02 IST 2025","passed","Fri Oct 03 11:44:28 IST 2025","","usecase1.spec.js","",""
"","29179","Updating Info in RTV module","","Tue Sep 30 17:26:44 IST 2025","passed","Tue Sep 30 17:27:13 IST 2025","","bclinward.spec.js","",""
"","26603","1-D2C Ticket Creation","","Mon Oct 06 10:44:46 IST 2025","passed","Mon Oct 06 10:45:13 IST 2025","","usecase1.spec.js","",""
